date,campaign_name,campaign_type,spend,revenue,impressions,clicks,conversions
2024-01-01,Google_Shopping_Main,shopping,1189.63,4927.33,41958,666,30
2024-01-02,Google_Shopping_Main,shopping,1308.14,5927.75,32718,798,30
2024-01-03,Google_Shopping_Main,shopping,1275.78,5414.32,33120,720,29
2024-01-04,Google_Shopping_Main,shopping,1212.97,4475.27,34656,722,32
2024-01-05,Google_Shopping_Main,shopping,1252.74,5216.75,33500,670,19
2024-01-06,Google_Shopping_Main,shopping,1377.62,6103.41,39676,763,28
2024-01-07,Google_Shopping_Main,shopping,1534.33,7015.05,59724,948,30
2024-01-08,Google_Shopping_Main,shopping,1245.99,5287.68,33075,675,26
2024-01-09,Google_Shopping_Main,shopping,1347.01,5105.69,43772,706,23
2024-01-10,Google_Shopping_Main,shopping,1410.25,6218.15,50987,761,13
2024-01-11,Google_Shopping_Main,shopping,1319.63,5745.86,38046,746,38
2024-01-12,Google_Shopping_Main,shopping,1363.9,6094.7,48739,799,23
2024-01-13,Google_Shopping_Main,shopping,1395.02,5344.01,33075,735,38
2024-01-14,Google_Shopping_Main,shopping,1407.74,6000.65,33558,714,25
2024-01-15,Google_Shopping_Main,shopping,1287.03,4642.81,29069,709,24
2024-01-16,Google_Shopping_Main,shopping,1383.81,5369.03,39034,673,32
2024-01-17,Google_Shopping_Main,shopping,1412.44,5643.04,56304,816,27
2024-01-18,Google_Shopping_Main,shopping,1338.5,5426.46,39444,692,35
2024-01-19,Google_Shopping_Main,shopping,1362.47,6327.23,33652,716,25
2024-01-20,Google_Shopping_Main,shopping,1561.62,6553.99,65861,983,40
2024-01-21,Google_Shopping_Main,shopping,1613.59,7261.43,36918,879,28
2024-01-22,Google_Shopping_Main,shopping,1295.57,5829.56,43263,759,31
2024-01-23,Google_Shopping_Main,shopping,1387.96,5775.05,44802,786,22
2024-01-24,Google_Shopping_Main,shopping,1380.67,5005.13,35595,791,36
2024-01-25,Google_Shopping_Main,shopping,1182.43,5248.67,35392,632,22
2024-01-26,Google_Shopping_Main,shopping,1384.65,5263.23,47124,714,34
2024-01-27,Google_Shopping_Main,shopping,1432.24,5510.06,42408,744,38
2024-01-28,Google_Shopping_Main,shopping,1704.28,6785.01,48070,874,30
2024-01-29,Google_Shopping_Main,shopping,1554.17,6674.17,38612,788,23
2024-01-30,Google_Shopping_Main,shopping,1365.8,6076.31,49014,778,30
2024-01-31,Google_Shopping_Main,shopping,1325.19,5580.62,32120,730,19
2024-02-01,Google_Shopping_Main,shopping,1243.88,4370.24,39058,662,32
2024-02-02,Google_Shopping_Main,shopping,1292.65,5568.29,37076,806,30
2024-02-03,Google_Shopping_Main,shopping,1446.65,5598.66,56440,830,28
2024-02-04,Google_Shopping_Main,shopping,1413.4,5909.7,45066,777,37
2024-02-05,Google_Shopping_Main,shopping,1216.49,4928.24,24969,609,25
2024-02-06,Google_Shopping_Main,shopping,1328.25,6539.43,34075,725,27
2024-02-07,Google_Shopping_Main,shopping,1279.44,5861.29,54196,797,29
2024-02-08,Google_Shopping_Main,shopping,1205.86,4866.73,29992,652,17
2024-02-09,Google_Shopping_Main,shopping,1366.16,6113.98,53131,793,37
2024-02-10,Google_Shopping_Main,shopping,1371.39,5076.48,38376,738,29
2024-02-11,Google_Shopping_Main,shopping,1354.37,4878.8,41382,726,31
2024-02-12,Google_Shopping_Main,shopping,1163.71,5017.46,44988,652,30
2024-02-13,Google_Shopping_Main,shopping,1343.89,6018.54,43920,732,27
2024-02-14,Google_Shopping_Main,shopping,1350.9,5669.89,43416,648,24
2024-02-15,Google_Shopping_Main,shopping,1206.29,5478.87,52904,778,33
2024-02-16,Google_Shopping_Main,shopping,1252.32,5407.66,42835,659,26
2024-02-17,Google_Shopping_Main,shopping,1306.36,5135.71,48945,753,21
2024-02-18,Google_Shopping_Main,shopping,1164.1,4675.46,43820,626,29
2024-02-19,Google_Shopping_Main,shopping,1255.48,5520.25,27060,660,28
2024-02-20,Google_Shopping_Main,shopping,1068.72,4274.41,40530,579,21
