date,campaign_name,campaign_type,spend,revenue,impressions,clicks,conversions
2024-01-01,Meta_Retargeting_Core,retargeting,902.62,3300.87,43072,673,34
2024-01-02,Meta_Retargeting_Core,retargeting,910.66,3086.54,34560,640,23
2024-01-03,Meta_Retargeting_Core,retargeting,921.39,2789.25,48372,834,38
2024-01-04,Meta_Retargeting_Core,retargeting,826.27,2360.68,34600,692,41
2024-01-05,Meta_Retargeting_Core,retargeting,949.54,3404.64,37104,773,33
2024-01-06,Meta_Retargeting_Core,retargeting,991.96,3331.3,29233,713,31
2024-01-07,Meta_Retargeting_Core,retargeting,1161.86,4281.4,53265,795,38
2024-01-08,Meta_Retargeting_Core,retargeting,1028.84,3808.83,59500,850,40
2024-01-09,Meta_Retargeting_Core,retargeting,1003.74,2935.8,52680,878,39
2024-01-10,Meta_Retargeting_Core,retargeting,1009.66,3890.49,50868,942,38
2024-01-11,Meta_Retargeting_Core,retargeting,1087.71,4201.94,49896,891,45
2024-01-12,Meta_Retargeting_Core,retargeting,983.55,3380.6,44856,801,13
2024-01-13,Meta_Retargeting_Core,retargeting,1061.93,3691.85,45050,850,38
2024-01-14,Meta_Retargeting_Core,retargeting,1122.35,3460.13,39450,789,34
2024-01-15,Meta_Retargeting_Core,retargeting,1036.69,3680.46,51471,817,28
2024-01-16,Meta_Retargeting_Core,retargeting,1110.8,3242.56,37044,882,33
2024-01-17,Meta_Retargeting_Core,retargeting,991.97,3395.7,53010,855,49
2024-01-18,Meta_Retargeting_Core,retargeting,1008.22,3402.47,44517,781,29
2024-01-19,Meta_Retargeting_Core,retargeting,950.3,3655.77,46332,702,20
2024-01-20,Meta_Retargeting_Core,retargeting,1354.39,4316.62,61915,1015,39
2024-01-21,Meta_Retargeting_Core,retargeting,1078.97,3908.94,39284,854,37
2024-01-22,Meta_Retargeting_Core,retargeting,976.61,3808.99,29612,673,50
2024-01-23,Meta_Retargeting_Core,retargeting,1140.9,4280.36,52800,800,39
2024-01-24,Meta_Retargeting_Core,retargeting,1029.5,3251.65,50504,856,22
2024-01-25,Meta_Retargeting_Core,retargeting,1075.28,3978.21,49472,773,41
2024-01-26,Meta_Retargeting_Core,retargeting,938.2,2883.41,36924,724,27
2024-01-27,Meta_Retargeting_Core,retargeting,1111.72,3685.87,56889,903,38
2024-01-28,Meta_Retargeting_Core,retargeting,1141.68,3767.71,56355,867,53
2024-01-29,Meta_Retargeting_Core,retargeting,910.59,3280.72,42714,791,43
2024-01-30,Meta_Retargeting_Core,retargeting,972.92,3458.07,55860,798,37
2024-01-31,Meta_Retargeting_Core,retargeting,1038.29,3799.19,36859,899,27
2024-02-01,Meta_Retargeting_Core,retargeting,933.84,2855.77,49647,741,29
2024-02-02,Meta_Retargeting_Core,retargeting,975.38,3399.76,39096,724,31
2024-02-03,Meta_Retargeting_Core,retargeting,1131.23,3859.06,48457,1031,49
2024-02-04,Meta_Retargeting_Core,retargeting,1148.63,3409.65,43108,829,30
2024-02-05,Meta_Retargeting_Core,retargeting,943.36,3299.32,27160,679,27
2024-02-06,Meta_Retargeting_Core,retargeting,968.12,3500.9,33220,755,25
2024-02-07,Meta_Retargeting_Core,retargeting,1002.65,3684.92,32252,733,21
2024-02-08,Meta_Retargeting_Core,retargeting,966.99,3080.24,33560,839,24
2024-02-09,Meta_Retargeting_Core,retargeting,950.86,3833.04,45864,819,30
2024-02-10,Meta_Retargeting_Core,retargeting,945.06,3520.03,34028,724,32
2024-02-11,Meta_Retargeting_Core,retargeting,934.65,3495.8,50524,743,30
2024-02-12,Meta_Retargeting_Core,retargeting,859.06,3007.03,43648,704,23
2024-02-13,Meta_Retargeting_Core,retargeting,954.98,3564.63,40492,764,28
2024-02-14,Meta_Retargeting_Core,retargeting,940.52,3653.05,54180,774,30
2024-02-15,Meta_Retargeting_Core,retargeting,836.61,2882.7,30732,591,23
2024-02-16,Meta_Retargeting_Core,retargeting,901.74,3102.27,46053,731,33
2024-02-17,Meta_Retargeting_Core,retargeting,1071.32,3803.49,52800,880,45
2024-02-18,Meta_Retargeting_Core,retargeting,1019.57,3797.06,39933,783,28
2024-02-19,Meta_Retargeting_Core,retargeting,771.85,2588.55,30348,562,29
2024-02-20,Meta_Retargeting_Core,retargeting,911.86,3156.48,42780,690,30
2024-02-21,Meta_Retargeting_Core,retargeting,854.28,2728.94,30360,660,28
2024-02-22,Meta_Retargeting_Core,retargeting,869.56,2904.03,45276,686,33
2024-02-23,Meta_Retargeting_Core,retargeting,791.85,2726.21,31008,608,21
2024-02-24,Meta_Retargeting_Core,retargeting,913.69,3136.91,47125,725,25
2024-02-25,Meta_Retargeting_Core,retargeting,818.46,3219.31,32916,633,15
2024-02-26,Meta_Retargeting_Core,retargeting,789.71,2884.51,40430,622,20
2024-02-27,Meta_Retargeting_Core,retargeting,714.07,2455.83,32509,551,20
2024-02-28,Meta_Retargeting_Core,retargeting,823.65,2878.29,31950,639,28
2024-02-29,Meta_Retargeting_Core,retargeting,766.6,2527.48,38812,626,22
2024-03-01,Meta_Retargeting_Core,retargeting,735.08,2650.13,34102,578,13
2024-03-02,Meta_Retargeting_Core,retargeting,897.7,3139.61,24780,590,22
2024-03-03,Meta_Retargeting_Core,retargeting,827.5,2688.1,32400,720,28
2024-03-04,Meta_Retargeting_Core,retargeting,796.18,2750.46,27716,676,21
2024-03-05,Meta_Retargeting_Core,retargeting,792.76,2890.71,44450,635,22
2024-03-06,Meta_Retargeting_Core,retargeting,709.83,2373.31,30039,589,13
2024-03-07,Meta_Retargeting_Core,retargeting,748.49,2648.64,27550,551,25
2024-03-08,Meta_Retargeting_Core,retargeting,744.56,2478.4,28985,527,26
2024-03-09,Meta_Retargeting_Core,retargeting,730.55,2506.56,31930,515,25
2024-03-10,Meta_Retargeting_Core,retargeting,682.48,2600.82,29865,543,31
2024-03-11,Meta_Retargeting_Core,retargeting,774.71,2822.95,35526,573,24
2024-03-12,Meta_Retargeting_Core,retargeting,750.39,2656.82,30550,611,16
2024-03-13,Meta_Retargeting_Core,retargeting,735.67,2293.15,29302,598,23
2024-03-14,Meta_Retargeting_Core,retargeting,818.44,2573.92,37505,577,20
2024-03-15,Meta_Retargeting_Core,retargeting,757.2,2765.71,24346,518,20
2024-03-16,Meta_Retargeting_Core,retargeting,864.39,2971.29,46085,709,27
2024-03-17,Meta_Retargeting_Core,retargeting,894.16,3115.5,35048,674,26
2024-03-18,Meta_Retargeting_Core,retargeting,869.48,3042.19,50028,758,29
2024-03-19,Meta_Retargeting_Core,retargeting,777.54,2670.3,32616,604,26
2024-03-20,Meta_Retargeting_Core,retargeting,787.32,2572.23,33360,556,17
2024-03-21,Meta_Retargeting_Core,retargeting,742.21,2411.64,36180,540,25
2024-03-22,Meta_Retargeting_Core,retargeting,844.48,2997.22,31700,634,28
2024-03-23,Meta_Retargeting_Core,retargeting,947.15,3239.45,33026,674,25
2024-03-24,Meta_Retargeting_Core,retargeting,944.06,3138.81,33924,771,25
2024-03-25,Meta_Retargeting_Core,retargeting,795.6,2567.1,32712,564,26
2024-03-26,Meta_Retargeting_Core,retargeting,881.5,3034.01,42539,721,21
2024-03-27,Meta_Retargeting_Core,retargeting,801.32,3238.66,22806,543,24
2024-03-28,Meta_Retargeting_Core,retargeting,943.83,3410.06,51008,797,28
2024-03-29,Meta_Retargeting_Core,retargeting,815.26,2714.71,31236,548,24
2024-03-30,Meta_Retargeting_Core,retargeting,943.31,3942.87,50630,830,34
2024-01-01,Meta_Prospecting_Broad,display,850.67,3123.04,35192,664,24
2024-01-02,Meta_Prospecting_Broad,display,872.74,3070.9,43648,704,25
2024-01-03,Meta_Prospecting_Broad,display,849.6,3615.21,43520,680,32
2024-01-04,Meta_Prospecting_Broad,display,878.94,3305.96,33552,699,34
2024-01-05,Meta_Prospecting_Broad,display,907.76,3220.78,40267,601,28
